Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_018250835.1	SRR7174505			Sostrata bifasciata nordica
GCA_018250295.1	SRR7174548			Spathilepia clonius
GCA_033557685.1	ASM3355768v1			Sperchopsis tessellata
GCA_037040025.1	ASM3704002v1			Sphaerogastrella javana
GCA_920937365.1	SPRU_Genome			Sphaerophoria rueppellii
GCA_943590905.1	idSphTaen1.1			Sphaerophoria taeniata
GCA_913789915.3	iySphMoni1.3			Sphecodes monilicornis
GCA_951509765.1	idSphMarg1.1			Sphenella marginata
GCA_947568825.1	ilSphPina1.1			Sphinx pinastri
GCA_001015235.1	ASM101523v1			Sphyracephala brevicornis
GCA_018231985.1	SRR12057649			Spialia ali
GCA_018231825.1	SRR12057685			Spialia carnea
GCA_018230705.1	SRR12057686			Spialia ferax
GCA_018252235.1	SRR12057646			Spialia galba
GCA_018231945.1	SRR12057655			Spialia geron
GCA_018230645.1	SRR12057684			Spialia lugens
GCA_018231185.1	SRR12057645			Spialia mafa
GCA_018231145.1	SRR12057651			Spialia orbifer
GCA_018231285.1	SRR12057654			Spialia osthelderi
GCA_018232305.1	SRR12057652			Spialia phlomidis
GCA_018232345.1	SRR12057650			Spialia sertorius
GCA_018231125.1	SRR12057648			Spialia spio
GCA_018230985.1	SRR12057653			Spialia struvei
GCA_949699795.1	ilUrbSimp4.1			Spicauda simplicius
GCA_916048165.1	ilSpiLutu1.1			Spilarctia lutea
GCA_905220595.1	ilSpiLubr1.1			Spilosoma lubricipeda
GCA_018251615.1	SRR7174370			Spioniades abbreviata
GCA_902829305.4	PGI_SPEXI_v6	Annotation submitted by ROTHAMSTED RESEARCH	2022-10-07	Spodoptera exigua
GCF_023101765.2	AGI-APGP_CSIRO_Sfru_2.0	NCBI Spodoptera frugiperda Annotation Release 102	2022-09-16	Spodoptera frugiperda
GCA_902850265.1	PGI_Spodlit_v1	Annotation submitted by ROTHAMSTED RESEARCH	2022-06-16	Spodoptera littoralis
GCF_002706865.2	ASM270686v3	NCBI Spodoptera litura Annotation Release 100	2017-11-04	Spodoptera litura
