Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCF_011800145.1	KU_Mleo_1.0	NCBI Mirounga leonina Annotation Release 100	2020-06-09	Mirounga leonina
GCA_004024645.1	MizCoq_v1_BIUU			Mirza coquereli
GCA_008750895.1	Mzaz_1.0			Mirza zaza
GCA_037176705.1	mMolAlv2.hap2			Molossus alvarezi
GCF_014108415.1	mMolMol1.p	NCBI Molossus molossus Annotation Release 100	2020-09-25	Molossus molossus
GCA_039880945.1	mMolNig1.hap1			Molossus nigricans
GCF_027887165.1	mMonDom1.pri	GCF_027887165.1-RS_2023_05	2023-05-17	Monodelphis domestica
GCF_005190385.1	NGI_Narwhal_1	NCBI Monodon monoceros Annotation Release 100	2019-05-16	Monodon monoceros
GCA_005190385.3	NGI_Narwhal_2			Monodon monoceros
GCA_004026545.1	MorMeg_v1_BIUU			Mormoops blainvillei
GCF_022376915.1	ASM2237691v1	GCF_022376915.1-RS_2023_04	2023-04-13	Moschus berezovskii
GCA_006461725.1	NPU_MCHR_1.0			Moschus chrysogaster
GCA_004024705.2	MosMos_v2_BIUU_UCD			Moschus moschiferus
GCA_004023785.1	MunMun_v1_BIUU			Mungos mungo
GCA_020276665.1	ASM2027666v1			Muntiacus crinifrons
GCA_020226025.1	ASM2022602v1			Muntiacus gongshanensis
GCA_008782695.1	UCB_Mmun_1.0	Annotation submitted by University of California, Berkeley	2019-10-07	Muntiacus muntjak
GCA_020226045.1	ASM2022604v1			Muntiacus reevesi
GCA_039877825.1	ASM3987782v1			Muntiacus vaginalis
GCA_004026665.1	MurFea_v1_BIUU			Murina aurata feae
GCF_900094665.2	CAROLI_EIJ_v1.1	NCBI Mus caroli Annotation Release 101	2019-06-10	Mus caroli
GCA_902729485.2	Mus_minutoides_I2396_v1			Mus minutoides
GCF_000001635.27	GRCm39	GCF_000001635.27-RS_2024_02	2024-02-01	Mus musculus
GCF_900095145.1	PAHARI_EIJ_v1.1	NCBI Mus pahari Annotation Release 101	2019-06-14	Mus pahari
GCA_003336285.2	MUSP714_v2			Mus spicilegus
GCA_921997135.2	SPRET_EiJ_v3			Mus spretus
GCA_963383645.1	mMusAve1.1			Muscardinus avellanarius
GCF_009829155.1	mMusErm1.Pri	NCBI Mustela erminea Annotation Release 100	2020-01-23	Mustela erminea
GCA_963422785.1	Steppe Polecat genome assembly			Mustela eversmannii
GCF_030435805.1	mMusLut2.pri	GCF_030435805.1-RS_2023_08	2023-08-23	Mustela lutreola
GCF_022355385.1	MUSNIG.SB6536	GCF_022355385.1-RS_2023_09	2023-09-07	Mustela nigripes
GCA_019141155.1	MusNiv_Pri1.0			Mustela nivalis
GCF_011764305.1	ASM1176430v1.1	NCBI Mustela putorius furo Annotation Release 102	2021-10-29	Mustela putorius furo
GCA_004027025.1	MyoCoy_v1_BIUU			Myocastor coypus
GCF_902806735.1	Bank_vole1_10x	NCBI Myodes glareolus Annotation Release 100	2022-05-25	Myodes glareolus
GCA_040207285.1	mMyoRut1_p1.0			Myodes rutilus
GCF_000412655.1	ASM41265v1	NCBI Myotis brandtii Annotation Release 101	2015-10-26	Myotis brandtii
GCF_963259705.1	mMyoDau2.1	GCF_963259705.1-RS_2023_09	2023-09-20	Myotis daubentonii
GCF_000327345.1	ASM32734v1	NCBI Myotis davidii Annotation Release 101	2016-02-04	Myotis davidii
GCA_038630795.1	ASM3863079v1			Myotis findleyi
GCF_000147115.1	Myoluc2.0	NCBI Myotis lucifugus Annotation Release 102	2018-01-17	Myotis lucifugus
GCF_014108235.1	mMyoMyo1.p	NCBI Myotis myotis Annotation Release 100	2020-09-25	Myotis myotis
GCA_964094495.2	mMyoMys1.hap1.1			Myotis mystacinus
GCA_036250175.1	ASM3625017v1			Myotis planiceps
GCA_036010255.1	ASM3601025v1			Myotis ricketti
GCA_035771395.1	ASM3577139v1			Myotis vivesi
GCA_028538775.1	mMyoYum1.0.hap1			Myotis yumanensis
GCA_023553655.1	mMyrfas1.20211206			Myrmecobius fasciatus
GCA_004026745.1	MyrTri_v1_BIUU			Myrmecophaga tridactyla
GCA_917880005.1	ORGONE_02			Nanger dama
GCA_006408635.1	GTG			Nanger granti
GCF_000622305.1	S.galili_v1.0	NCBI Nannospalax galili Annotation Release 102	2019-06-05	Nannospalax galili
GCA_000772465.1	Charlie1.0			Nasalis larvatus
GCA_028533885.1	Nasua_narica_HiC			Nasua narica
GCA_025134845.1	SAF_Nshe_1.1			Neodon shergylaensis
GCA_027422475.1	ASM2742247v1			Neofelis diardi
GCF_028018385.1	mNeoNeb1.pri	GCF_028018385.1-RS_2023_07	2023-07-31	Neofelis nebulosa
GCF_020171115.1	ASM_NN_V1	NCBI Neovison vison Annotation Release 100	2021-10-07	Neogale vison
GCF_002201575.2	ASM220157v2	NCBI Neomonachus schauinslandi Annotation Release 101	2021-10-28	Neomonachus schauinslandi
GCF_003031525.2	Neophocaena_asiaeorientalis_V1.1	NCBI Neophocaena asiaeorientalis asiaeorientalis Annotation Release 100	2018-04-20	Neophocaena asiaeorientalis asiaeorientalis
GCA_001675575.1	ASM167557v1	Annotation submitted by University of Utah	2016-06-23	Neotoma lepida
GCA_006410615.1	SUN			Neotragus moschatus
GCA_006410875.1	RAL			Neotragus pygmaeus
GCA_004026705.1	MicTal_v1_BIUU			Nesogale talazaci
GCA_004026585.1	NocLep_v1_BIUU			Noctilio leporinus
GCA_963574525.1	PGDP_NomAnn			Nomascus annamensis
GCA_963574845.1	PGDP_NomCon			Nomascus concolor
GCA_963574555.1	PGDP_NomGab			Nomascus gabriellae
GCF_006542625.1	Asia_NLE_v1	NCBI Nomascus leucogenys Annotation Release 103	2019-09-09	Nomascus leucogenys
GCA_023783065.1	ASM2378306v1			Nomascus siki
GCA_028372415.1	mMacEug1.pri			Notamacropus eugenii
GCA_036971965.2	NENU_Navi_2.0			Nyctalus aviator
GCF_905146905.1	NYPRO_anot_genome	GCF_905146905.1-RS_2023_04	2023-04-13	Nyctereutes procyonoides
GCA_023898255.1	ASM2389825v1			Nycticebus bengalensis
GCF_027406575.1	mNycCou1.pri	GCF_027406575.1-RS_2023_03	2023-03-03	Nycticebus coucang
GCA_007922795.1	NycHum_v1_BIUU			Nycticeius humeralis
GCF_017591425.1	NIBS_Ocur_1.0	NCBI Ochotona curzoniae Annotation Release 100	2021-04-15	Ochotona curzoniae
GCF_030435755.1	mOchPri1.hap1	GCF_030435755.1-RS_2023_07	2023-07-28	Ochotona princeps
GCF_000260255.1	OctDeg1.0	NCBI Octodon degus Annotation Release 102	2018-01-16	Octodon degus
GCA_002564305.1	Oct_mimax_AO248_v1			Octomys mimax
GCF_000321225.1	Oros_1.0	NCBI Odobenus rosmarus divergens Annotation Release 101	2015-05-18	Odobenus rosmarus divergens
GCA_020976825.1	BYU_Ohem_2021			Odocoileus hemionus
GCF_002102435.1	Ovir.te_1.0	NCBI Odocoileus virginianus texanus Annotation Release 100	2017-04-25	Odocoileus virginianus texanus
GCA_024291935.2	TBG_Okapi_asm_v1			Okapia johnstoni
GCA_004026605.1	OndZib_v1_BIUU			Ondatra zibethicus
GCA_949786405.1	OncAre_H1_v1			Onychomys arenicola
GCA_949786385.1	OncLeu_H2_v1			Onychomys leucogaster
GCF_903995425.1	mOncTor1.1	NCBI Onychomys torridus Annotation Release 100	2020-09-22	Onychomys torridus
GCF_937001465.1	mOrcOrc1.1	GCF_937001465.1-RS_2023_02	2023-02-27	Orcinus orca
GCA_009758055.1	ASM975805v1			Oreamnos americanus
GCA_006410675.1	KSP			Oreotragus oreotragus
