Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_013398345.1	ASM1339834v1	Annotation submitted by B10K Consortium	2020-07-10	Nothocercus nigrocapillus
GCA_013398335.1	ASM1339833v1	Annotation submitted by B10K Consortium	2020-07-10	Nothoprocta ornata
GCA_013398315.1	ASM1339831v1	Annotation submitted by B10K Consortium	2020-07-10	Nothoprocta pentlandii
GCF_003342845.1	notPer1	NCBI Nothoprocta perdicaria Annotation Release 100	2018-08-06	Nothoprocta perdicaria
GCA_032353885.1	ASM3235388v1			Nothura maculosa
GCA_013398075.1	ASM1339807v1	Annotation submitted by B10K Consortium	2020-07-10	Notiomystis cincta
GCA_964059295.1	bNumArq3.hap2.1			Numenius arquata
GCA_030770645.1	ASM3077064v1			Numenius phaeopus
GCF_002078875.1	NumMel1.0	NCBI Numida meleagris Annotation Release 100	2017-06-05	Numida meleagris
GCA_013396595.1	ASM1339659v1	Annotation submitted by B10K Consortium	2020-07-10	Nyctibius bracteatus
GCA_013368605.1	bNycGra1.pri			Nyctibius grandis
GCA_023375905.1	ASM2337590v1			Nycticorax nycticorax
GCA_013400055.1	ASM1340005v1	Annotation submitted by B10K Consortium	2020-07-10	Nycticryphes semicollaris
GCA_013399395.1	ASM1339939v1	Annotation submitted by B10K Consortium	2020-07-10	Nyctiprogne leucopyga
GCA_009823435.2	ASM982343v2			Nymphicus hollandicus
GCA_013396615.1	ASM1339661v1	Annotation submitted by B10K Consortium	2020-07-10	Oceanites oceanicus
GCA_030449065.1	OLeu_1.0			Oceanodroma leucorhoa
GCA_013397025.1	ASM1339702v1	Annotation submitted by B10K Consortium	2020-07-10	Oceanodroma tethys
GCA_013399175.1	ASM1339917v1	Annotation submitted by B10K Consortium	2020-07-10	Odontophorus gujanensis
GCF_029582105.1	OMel1.0	GCF_029582105.1-RS_2023_05	2023-05-24	Oenanthe melanoleuca
GCA_013399995.1	ASM1339999v1	Annotation submitted by B10K Consortium	2020-07-10	Oenanthe oenanthe
GCA_013397825.1	ASM1339782v1	Annotation submitted by B10K Consortium	2020-07-10	Onychorhynchus coronatus
GCF_017590055.1	ASM1759005v1	NCBI Onychostruthus taczanowskii Annotation Release 100	2021-05-04	Onychostruthus taczanowskii
GCF_000692075.1	ASM69207v1	NCBI Opisthocomus hoazin Annotation Release 100	2014-10-27	Opisthocomus hoazin
GCA_013398015.1	ASM1339801v1	Annotation submitted by B10K Consortium	2020-07-10	Oreocharis arfaki
GCA_036925125.1	bOrePic1.0.hap1			Oreortyx pictus
GCA_013400995.1	ASM1340099v1	Annotation submitted by B10K Consortium	2020-07-10	Oreotrochilus melanogaster
GCA_013397895.1	ASM1339789v1	Annotation submitted by B10K Consortium	2020-07-10	Origma solitaria
GCA_013400235.1	ASM1340023v1	Annotation submitted by B10K Consortium	2020-07-10	Oriolus oriolus
GCA_013397795.1	ASM1339779v1	Annotation submitted by B10K Consortium	2020-07-10	Orthonyx spaldingii
GCA_026284845.1	ASM2628484v1			Orthopsittaca manilatus
GCA_026413225.1	OTswu			Otis tarda
GCA_039877175.1	ASM3987717v1			Otus scops
GCA_010365825.1	OtuSun1.0			Otus sunia
GCA_013400675.1	ASM1340067v1	Annotation submitted by B10K Consortium	2020-07-10	Oxylabes madagascariensis
GCA_013399855.1	ASM1339985v1	Annotation submitted by B10K Consortium	2020-07-10	Oxyruncus cristatus
GCF_011077185.1	BPBGC_Ojam_1.0	NCBI Oxyura jamaicensis Annotation Release 100	2020-06-29	Oxyura jamaicensis
GCA_013397055.1	ASM1339705v1	Annotation submitted by B10K Consortium	2020-07-10	Pachycephala philippinensis
GCA_013397135.1	ASM1339713v1	Annotation submitted by B10K Consortium	2020-07-10	Pachyramphus minor
GCA_013401275.1	ASM1340127v1	Annotation submitted by B10K Consortium	2020-07-10	Pandion haliaetus
GCA_013398035.1	ASM1339803v1	Annotation submitted by B10K Consortium	2020-07-10	Panurus biarmicus
GCA_036873025.1	ASM3687302v1			Papasula abbotti
GCA_025311615.1	ASM2531161v1			Parabuteo unicinctus
GCA_003713265.1	ParRag_1.0			Paradisaea raggiana
GCA_003713215.1	ParRub_1.0			Paradisaea rubra
GCA_013400915.1	ASM1340091v1	Annotation submitted by B10K Consortium	2020-07-10	Pardalotus punctatus
GCA_003713295.1	ParLaw_1.0			Parotia lawesii
GCF_001522545.3	Parus_major1.1	NCBI Parus major Annotation Release 102	2020-04-08	Parus major
GCF_036417665.1	bPasDom1.hap1	GCF_036417665.1-RS_2024_04	2024-04-09	Passer domesticus
GCF_014805655.1	ASM1480565v1	NCBI Passer montanus Annotation Release 100	2021-02-22	Passer montanus
GCA_031885435.1	bPasSan2.pri			Passerculus sandwichensis
GCA_013401095.1	ASM1340109v1	Annotation submitted by B10K Consortium	2020-07-10	Passerina amoena
GCA_036971685.1	bPatFas1.hap2			Patagioenas fasciata
GCA_021513735.1	PavCris_1.0			Pavo cristatus
GCA_016647715.1	ASM1664771v1			Pavo muticus
GCA_013398155.1	ASM1339815v1	Annotation submitted by B10K Consortium	2020-07-10	Pedionomus torquatus
GCA_013400755.1	ASM1340075v1	Annotation submitted by B10K Consortium	2020-07-10	Pelecanoides urinatrix
GCF_000687375.1	ASM68737v1	NCBI Pelecanus crispus Annotation Release 100	2014-10-03	Pelecanus crispus
GCA_013396635.1	ASM1339663v1	Annotation submitted by B10K Consortium	2020-07-10	Penelope pileata
GCA_035772895.1	ASM3577289v1			Perdix hodgsoniae
GCA_032357785.1	ASM3235778v1			Periparus ater
GCA_025802475.2	ASM2580247v2			Pernis celebensis
GCA_025920805.1	Ptraversi_NRM_v1			Petroica traversi
GCA_013400575.1	ASM1340057v1	Annotation submitted by B10K Consortium	2020-07-10	Peucedramus taeniatus
GCF_033815535.1	CSIRO_AGI_Pfla_v1	GCF_033815535.1-RS_2023_12	2023-12-07	Pezoporus flaviventris
